발화문,상황
주변에 교통사고가 나서 짭새들이 몰려왔어.,neutral
30분 정도 구경을 하고 왔어.,neutral
음식점이 너무 많은 강남역이야.,neutral
난 아무거나 다 잘먹어.,neutral
좋은 생각이야. 에피타이저가 가장 맛있지.,neutral
정말 고마워. 잘 먹고 올게.,neutral
나 프로젝트 다 끝냈어.,happiness
그럼. 한달간 얼마나 고생했는데.,happiness
신나는 음악 좋지. 얼른 하나만 골라줘 듣게.,happiness
알았어. 친구 약속도 좀 잡아볼게.,happiness
알았어. 친구들이랑 만나서 여행 계획 세워볼게.,happiness
나 너무 우울해.,sadness
코로나 때문에 회사도 재택근무 한대.,sadness
맞아. 사람은 밖에 나가서 활동해야 된다고. 요즘 입맛도 없어.,sadness
음악 들으면 확실히 기분이 좋아지긴 해.,sadness
영화까지 찾아주면 정말 고맙지.,sadness
아니 요즘 다들 왜 그러는지 모르겠어.,angry
유명한 유튜버들이 다들 돈 받고 뒷광고 해주고 있었어.,angry
그럼. 얼마나 실망했는지 몰라. 그리고 사과도 억지로 하더라고.,angry
억지로 하는 사과는 진중함이 없어.,angry
나 혼자 갇힌 것 같아.,fear
자고 일어났더니 우리 집 빼고 다 주변이 물바다가 되어 있어.,fear
자다가 재난문자도 못보고 비오는 소리도 못 듣고 그래서 대피를 못했어.,fear
맞아. 온통 물바다라서 나갈 방법이 없어.,fear
다행히 우리집까지는 들어오지 않았어. 나도 괜찮고.,fear
헐. 나 이벤트에 당첨되었어.,happiness
유명한 인플루언서가 이벤트를 했더라고.,happiness
당연하지! 정말 비싼 향수야.,happiness
아직 말 안했지. 선물 오면 같이 할 거야.,happiness
내 휴가가 엉망진창이 되었어.,angry
휴가 첫날부터 비가 오고 있어. 하루종일.,angry
회사가 너무 바빠서 그 동안 휴가를 못 냈었어. 한 1년 만인가봐.,angry
영화 봐야 될 것 같아.,angry
"아니, 해피 산책 시키다 정말 깜짝 놀랐어!",surprise
갑자기 목줄이 끊어져버린거야! 얼마나 놀랐는지 몰라.,surprise
물론 다치거나 무슨 일이 생기지는 않았어. 걱정하지 마.,surprise
주변에 아저씨가 잡아주셨어.,surprise
지금은 많이 진정됐어. 그런데 다음에 또 그럴까봐 걱정 돼.,surprise
나 축하해줘! 기분 좋은 일이 있었어.,happiness
그냥 마라톤 대회에 출전했었잖아. 내 기록이 엄청 좋아졌어!,happiness
선수처럼 잘 하는 건 아니고 그냥 내 기록만 단축되었다고.,happiness
뛰는 동안 힘들었지만 결승선을 통과하는 순간 힘든게 싹 사라지더라.,happiness
당연하지! 같이 운동하고 같이 신청해서 뛰는 사람들 있어.,happiness
나 주식 시작했는데 후회하고 있어.,sadness
친구가 같이 하자고 해서 시작하게 되었어.,sadness
요즘 케이팝이 유명하잖아. 그래서 엔터테인먼트 주식 조금 샀어.,sadness
처음 샀을 때보다 많이 빠졌어.,sadness
나도 지금 당장 팔 수가 없어. 손해가 너무 심해.,sadness
나 어제 자다가 깜짝 놀랐어.,surprise
잠결에 들어서 그런가 폭탄터지는 소리가 들리더라고.,surprise
실제로는 천둥치는 소린데 정말 크게들리더라고.,surprise
다행히 피해는 없었어. 천둥만 몇 번 치다가 말더라고.,surprise
다행히 피해는 없었어. 천둥만 몇 번 치고 그치더라고.,surprise
화장실은 청소를 해도해도 끝이 없어. 곰팡이가 사라지질 않아.,angry
맞아. 우리집 화장실은 딱히 환기구가 없어.,angry
맞아. 장마철이라서 그런지 하루종일 화장실청소만 하는 기분이야.,angry
내가 그 생각은 못했네.,angry
알았어. 구매해야지. 좀 알려줘.,angry
내가 쓰레기를 제때 안버려서 그래.,disgust
알았어. 지금 버리려고 하고있어.,disgust
방향제 냄새가 역겨운 냄새를 없앨수 있을까?,disgust
그렇기는 해. 하지만 내가 잘못한 건데 뭐.,disgust
비싼 건 못샀어. 알바비를 모았거든.,happiness
삼성 걸로 샀는데 불량품이 왔겠어?,happiness
할게 정말 많아. 영화랑 음악 다운 받을 거고 프로젝트도 해야 돼.,happiness
알았어. 내가 참고할게.,happiness
그런 놈은 욕을 처먹을려고 작정한 놈이라니깐?,angry
난 음악이면 다 좋아.,angry
짭새가 몰려와서 구경갔다가 우산도 잃어버리고 왔어.,neutral
내가 감기 걸리면 짭새들 탓이야! 그리고 요즘은 비염 때문에 좀 고생하고 있어.,neutral
그러니깐 나도 너무 궁금해서 가봤었지.,neutral
나도 잘 못봤는데 그런거 같진 않았어.,neutral
나 갇힌 거 같아.,fear
응. 나갈 수 없을 거 같애.,fear
괜찮은 편이야.,fear
헐 나 이벤트 당첨됐어.,happiness
좋아하는 인플루언서가 하는 거였어.,happiness
아니. 자랑하지 않았어.,happiness
비가 너무 많이 와서.,angry
원래는 바닷가 가는 거였어.,angry
1년만에 휴가야.,angry
아니 어제 해피 산책시키다가 깜짝 놀랬어.,surprise
갑자기 목줄을 끊고 도망간 거야!,surprise
그런 건 없었어.,surprise
응? 지금 괜찮아.,surprise
축하해줘! 기분 좋은 일 있어.,happiness
응. 마라톤 내 기록 갱신했어.,happiness
아니 전혀 아니야.,happiness
진짜 많이 실망했어.,angry
전혀 안그랬어.,angry
너무 좋은데? 고마워.,angry
"아, 짜증나. 그 새끼 일 없으면 집에나 갈 것이지, 왜 난리야 진짜!",angry
나는 발라드가 좋아.,angry
짭새가 몰려있어서 구경다녀왔어.,neutral
그건 나도 모르겠어.,neutral
나 짭새가 몰려있길래 구경다녀왔어.,neutral
잘 모르겠어 나도.,neutral
그건 아닌 것 같은데 잘 모르겠어.,neutral
나 이벤트에 당첨되었어.,happiness
내가 좋아하는 인플루언서가 진행하는 이벤트에서 당첨됐어!,happiness
당첨자가 한 명이었는데 내가 당첨된 거야. 정말 운이 좋지?,happiness
당첨선물이 내가 갖고싶었던 향수라서 너무 마음에 들어.,happiness
주변 사람들한테 이벤트에 당첨돼서 선물을 받았다고 자랑했어. 다들 부러워 해.,happiness
"아니, 아까 해피를 산책시키다가 깜짝 놀랐어.",surprise
갑자기 해피의 목줄이 끊어져서 해피가 막 달려나갔어.,surprise
내가 얼른 달려가서 해피를 안고 왔기 때문에 다행히 아무 일도 없었어.,surprise
갑자기 해피가 달려가서 사람들이 엄청 놀랐어!,surprise
아까는 엄청 놀랐는데 지금은 집에 와서 쉬니까 괜찮아졌어.,surprise
단톡방에서 아는 지인이 주식을 추천해줬어.,sadness
전자 종목이 오를 거라고 해서 전자 종목을 구입했어.,sadness
시간을 가지고 지켜보다보면 손해를 만회하는 날이 오겠지?,sadness
시간을 가지고 지켜보다보면 내 주식이 오를 날이 있겠지?,sadness
오늘 최종 발표를 마쳤으니까 완전히 끝난거지.,happiness
친구를 못 만났었는데 이번 기회에 만나봐야겠어.,happiness
너의 말 대로 여행을 다녀오는 것도 좋을 것 같아.,happiness
나 내일 친구를 만나기로 했는데 뭘 먹을지 모르겠어.,neutral
친구를 강남역에서 만나기로 했어.,neutral
오랜만에 친구랑 분위기를 잡으면서 양식을 먹어야겠어.,neutral
에피타이저부터 푸짐하게 주는 집이 있어? 너무 좋을 거 같아.,neutral
너가 추천한 곳이니까 믿고 가서 친구랑 먹고올게. 고마워.,neutral
화장실은 아무리 청소를 해도 곰팡이가 안 없어져.,angry
그래서 신경 쓰고 청소를 하는데 곰팡이가 왜 안 없어질까?,angry
장마철이라서 습기가 많아지면서 곰팡이가 많이 생기니까 어떻게 해야할지 모르겠어.,angry
곰팡이 제거제가 효과가 있어?,angry
곰팡이 제거제가 효과가 있다니까 나 구매할래. 좋은 제품 좀 알려줘.,angry
"아니, 요즘 왜 이러는 거지? 이해가 안 돼!",angry
내가 좋아하는 유튜버가 뒷광고를 했다고 사과하는 영상을 올렸어.,angry
믿었던 유튜번데 뒷광고를 했다고 하니까 실망스럽고 배신감이 느껴져.,angry
사과 영상을 봤는데 사과라기보다는 자기 변명만 하고 있어서 더 화가 났어.,angry
내 기분이 지금 너무 안좋은데 내 기분을 전환해줄 영상이 있어?,angry
내 휴가가 엉망이야.,angry
오늘부터 일주일간 휴가기간인데 휴가기간 내내 비가 온대.,angry
오랜만에 가족들이랑 동해 바다에 가서 놀다 오기로 했어. 근데 비가 와서 망했어.,angry
일이 너무 많아서 일년만에 받은 휴가인데 비가 와서 아무데도 못 갈 거 같아.,angry
휴가기간 내내 비소식이 있으니까 집에서 즐겁게 휴가를 보내봐야겠어.,angry
나 축하해줘. 기분 좋은 일이 생겼어.,happiness
내가 10km 마라톤 대회에 나갔는데 이전의 내 기록보다 훨씬 좋게 나왔어!,happiness
내가 달리는 운동을 너무 좋아해서 매번 열리는 마라톤 대회에 출전하고 있어.,happiness
달리는 동안에는 엄청 힘들었는데 결승선을 통과하는 순간 기분이 날아갈 것 같았어.,happiness
함께 달리는 크루가 있어서 내가 지치고 힘들때 큰 힘이 되어주고 있어.,happiness
쓰레기통에서 역겨운 냄새가 나.,disgust
쓰레기통에 내가 버린 음식물쓰레기가 상해서 역겨운 냄새가 나는거야.,disgust
너무 냄새가 나서 버리려고 밖에 빼놨어.,disgust
지저분하니까 내가 힘내서 청소를 해야지.,disgust
아무리 힘들어도 집이 지저분하니까 얼른 청소할거야.,disgust
드디어 구매한 노트북이 도착했어. 얼른 열어봐야지.,happiness
200만원짜리 노트북을 샀는데 배송이 늦어져서 걱정하고 있었어.,happiness
너의 말대로 노트북을 여기저기 살펴볼게.,happiness
컴퓨터를 오래 쓸 수 있게 가입하는 보험을 들어봐야겠어.,happiness
노트북을 오래 사용할 수 있게 보험가입도 생각해볼게.,happiness
나 갇히게 된 거 같아.,fear
나 혼자 집 안에 갇힌 것 같아.,fear
내가 잠을 자는 동안에 비가 엄청 많이 와서 우리 동네가 고립되면서 갇히게 됐어!,fear
물이 집 주변까지 차올라서 밖으로 나갈 수가 없어.,fear
아직까지는 집 안으로 물이 들어오진 않았어. 몸도 괜찮아.,fear
나 너무 우울해.,sadness
밖에 나갈 일이 없으니까 기운도 없고 몸이 처지는 것 같아.,sadness
마음이 울적할 때는 음악을 듣는게 최고인 것 같아.,sadness
나를 위해서 이렇게 많은걸 해줘서 너무 고마워.,sadness
나 어제 자다가 깜짝 놀라서 깼어.,surprise
간신히 잠이 들었는데 갑자기 천둥이 쳐서 놀라서 깼어.,surprise
실제로 엄청 큰 천둥 소리 때문에 깜짝 놀라서 잠도 못 잤어.,surprise
어제는 너무 많이 놀랐는데 오늘은 좀 나아졌어.,surprise
내가 놀란 거 말고는 아무런 피해가 없어서 정말 다행이야.,surprise
나 오늘 짭새들이 몰려있길래 궁금해서 구경다녀 왔어.,neutral
짭새가 왜 몰려있는지 잘 못봤어.,neutral
많은 사람들이 구경을 하고 있어서 앞이 안 보여서 알 수가 없었어.,neutral
나 짭새들이 몰려 있길래 구경 다녀 왔어.,neutral
내일 비 소식이 있어? 비가 많이 온대? 우산은 사무실에 없는데.,neutral
내일 집에서 나올 때 우산을 가지고 나오면 비 안 맞을 거 같아. 요새 건강은 괜찮아.,neutral
"아, 짜증나. 그 새끼 일 끝났으면 빨리 집에나 가지, 남아가지고 나한테 자꾸 뭐라고 해!",angry
그 새끼가 자꾸 나한테 뭐라고 하니까 욕이 나오는 거야.,angry
그래. 너의 말대로 음악이나 들으면서 기분 풀어야겠어. 신나는 음악을 좋아해.,angry
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀 왔어.,neutral
30분 정도 구경 하다가 그냥 집으로 왔어.,neutral
30분 정도 구경 하다가 집으로 왔어.,neutral
음식점이 정말 많은 강남점이야.,neutral
난 양식을 좋아해.,neutral
애피타이저 푸짐하게 주는 집도 있어? 그런 집은 완전 좋지!,neutral
정말 고마워! 잘 먹고 올게.,neutral
그렇지. 한 달 간 정말 고생 많이 했거든.,happiness
신나는 음악을 듣는 거 너무 좋아.,happiness
친구들과 약속은 미리 해놨어.,happiness
알았어. 친구들과 만나면 여행 계획 세워 볼게.,happiness
나 너무 우울해.,sadness
코로나 때문에 회사가 재택근무를 한대.,sadness
맞아. 밖에 나가서 활동해야 되는데 몸도 근질근질하고 죽겠어.,sadness
유명한 유튜버들이 죄다 뒷광고 하고 있었어.,angry
많은 사람들이 속았다니깐. 그리고 사과는 왜 억지로 하는 거야?,angry
억지로 하는 사과는 진중함이 없어.,angry
그런 영상도 있어? 즐거운 건가? 한 번 추천해 줘 봐.,angry
나 아무래도 혼자 갇힌 것 같아.,fear
우리 집 빼고 온통 다 물바다가 되어 있어.,fear
"아니, 자고 있었는데 비가 그렇게 많이 오는지 몰랐지. 재난 문자도 못 받고 그냥 자고 있었던 거야.",fear
이번에 유명한 인플루언서가 하는 이벤트에 당첨 됐대!,happiness
한 명 뽑는데 내가 된 거야!,happiness
당연히 마음에 들지! 비싼 향순데.,happiness
아직 안 했어. 향수 오면 할 거야.,happiness
내 휴가가 엉망진창이 되었어.,angry
휴가 첫날부터 하루종일 비가 와.,angry
비가 오지 않으면 바다 갈려고 했었다고.,angry
회사가 정말 바빠서 1년만에 낸 거야.,angry
아무래도 영화를 봐야될 거 같애.,angry
오늘 최종 발표로 이제 완전히 끝난 거야.,happiness
한동안 만나지 못한 친구를 만나는 것도 생각해 봐야겠어.,happiness
그래. 너의 말대로 푹 쉬고 여행 가는 것도 괜찮을 것 같아.,happiness
내일 친구를 만나기로 했는데 뭘 먹을지 모르겠어.,neutral
친구랑 분위기 잡고 양식을 먹고 싶어.,neutral
너가 추천한 곳이니까 믿고 가서 먹어볼게. 고마워.,neutral
화장실에 곰팡이는 청소를 해도 없어지지 않아.,angry
장마철이라서 곰팡이가 자꾸 생겨서 신경이 쓰여.,angry
곰팡이 제거제가 효과가 있을까?,angry
"아니, 요즘 다 왜 이러는 거지? 정말 이해가 안돼.",angry
사과 영상을 보고 나니까 너무 화가 나. 내 화를 잠재워 줄 수 있는 영상이 있어?,angry
내 휴가가 엉망이야.,angry
일이 바쁘고 많아서 1년만에 받은 휴가인데 비가 와서 아무데도 갈 수가 없어.,angry
나 축하해줘. 기분 좋은 일이 생겼어.,happiness
내가 10km 마라톤 대회에 출전했는데 예전의 내 기록보다 훨씬 잘 나왔어!,happiness
함께 달리는 크루가 있어서 힘들 때마다 큰 힘이 되어 줘.,happiness
쓰레기통에서 역겨운 냄새가 나.,disgust
냄새가 너무 고약해서 버리려고 밖에 빼놨어.,disgust
방향제로 처리하는게 가장 좋을 거 같아.,disgust
나 드디어 구매한 노트북이 도착했어! 뜯어 봐야지.,happiness
노트북을 가지고 지금 하고 있는 만화 작업을 할 거야.,happiness
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
나도 몰랐어. 음식물 쓰레기를 내가 버렸는데 그걸 제대로 안 치웠나봐.,disgust
방향제? 근데 안 좋은 냄새에다가 더하면 더 독하지 않나?,disgust
나 갇히게 된 거 같아서 무서워!,fear
아니야. 이제라도 발견해서 다행이지. 안 그랬으면 벌레 생겼을걸?,disgust
내가 잠을 자는 동안에 비가 엄청 많이 와서 우리 동네가 고립되면서 갇히게 됐어!,fear
"아, 내 휴가가 엉망이야!",angry
"아니, 태풍 때문에 지금 나가지도 못하고 여행도 못 가게 생겼어!",angry
아직까지는 집 안에 물이 들어오지 않아서 괜찮아.,fear
그것도 나쁘지 않은데 나 진짜 나가고 싶었단 말이야.,angry
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
"아, 알지. 나도 그런거. 아는데 지금 너무 기분이 안 좋아!",angry
진짜 너무 스트레스 받아 죽겠어. 어떡해야 되지?,angry
코로나 때문에 재택근무를 시작하면서 집안에만 있으니까 마음이 울적해.,sadness
날 위해서 이런것도 찾아주고 정말 고마워.,sadness
"아니, 나 아까 해피 산책 시키다가 엄청 놀랐어!",surprise
목줄이 갑자기 끊어진 거 있지?,surprise
잠을 자고 있는데 갑자기 천둥이 쳐서 깜짝 놀라서 깼어!,surprise
지금은 좀 낫지. 근데 아까 생각만 하면 아직도 심장이 벌렁벌렁거려.,surprise
실제로 엄청 큰 천둥소리 때문에 깜짝 놀라서 깨서 잠도 못 잤어.,surprise
놀란 거 말고는 아무런 피해가 없어서 정말 다행이야.,surprise
나 이번에 마라톤에서 기록 갱신했어.,happiness
아니고 그냥 아마추어지 아직.,happiness
완전. 이번에 유난히 힘들었거든? 근데 결승선에서 기록 보고 진짜 엄청 놀랐어!,happiness
"아, 짜증나! 그 새끼 일 끝났으면 빨리 집에나 갈 것이지. 남아가지고 나한테 뭐라고 해.",angry
나 요즘 주식을 시작했는데.,sadness
코로나 신약개발 회사. 거기다 투자했어.,sadness
오를 줄 알았거든? 근데 떨어지고 있더라.,sadness
나 오늘 짭새 새끼들이 몰려 있길래 궁금해서 구경 다녀 왔어.,neutral
어제 자다가 깜짝 놀랐어!,surprise
구경 나온 사람들이 너무 많아서 앞을 볼 수가 없었어.,neutral
어제 간신히 잠들었거든? 근데 갑자기 엄청나게 천둥번개가 치는 거야 밖에서! 그래서 진짜 깜짝 놀랐어!,surprise
너무나 궁금했는데 앞에 사람들이 많아서 정확하게 무슨 이유인지 모르겠어.,neutral
지금은 괜찮아. 근데 진짜 어제 진짜 너무 놀랐어.,surprise
"놀란 거 빼고는 괜찮아. 뭐, 나한테 친 것도 아니잖아?",surprise
너가 내일 날씨를 알려줬으니까 집에서 나갈 때 우산 가지고 가면 감기에 안 걸릴 거야. 건강은 괜찮아.,neutral
나 우리집에 갇혔어.,fear
"아, 지금 밖에 비가 엄청 오는데 우리집이 지대가 좀 낮거든? 그래서 홍수 때문에 이렇게 됐어.",fear
짭새들이 왜 몰려 있는지 잘 모르겠어.,neutral
거기서 30분 정도 구경 했는데 사람들이 너무 많아서 알 수가 없어서 집에 왔어.,neutral
"아, 짜증나. 그 새끼는 할일이 없으면 집에나 갈 것이지. 늦게까지 결혼 못 한 히스테리를 나한테 푸는 건가? 왜 항상 나한테만 그럴까?",angry
"아, 보는 것도 아니고 너무 답답해 죽겠으니까 그러지!",angry
내일 친구랑 만나기로 약속했는데 뭘 먹어야 될 지 잘 모르겠어.,neutral
맞아. 완전히 끝냈어. 한 달 간 정말 고생 많았거든.,happiness
나 음악 정말 좋아해.,happiness
친구들하곤 벌써 만나기로 약속했지.,happiness
나 너무 우울해졌어.,sadness
내일 친구 만나는데 뭘 먹을지 모르겠어.,neutral
코로나 때문에 회사가 재택근무 한대.,sadness
맞아. 사람은 밖에 나가서 활동을 해야하는데. 이게 뭐야.,sadness
강남역에서 만나기로 했어.,neutral
정말 요즘 왜들 그러는 거야? 이해할 수가 없어!,angry
일식 먹고 싶은 기분이네요.,neutral
유명한 유튜버들이 다들 돈 받고 뒷광고 하고 있었어.,angry
맞아. 정말 실망스럽고 피해 본 사람들이 많아.,angry
그런 영상도 있어? 나 보고 싶다.,angry
좋은데요? 어딘지 알려주세요.,neutral
우리 집 주변이 다 온통 물바다야. 빠져나갈 수가 없다고.,fear
여기서 가깝다니 좋네요. 주소 알려주세요.,neutral
그렇다니깐. 온통 사방이 다 물바다야.,fear
나 드디어 프로젝트 끝났어!,happiness
다행히 우리 집까진 들어오지 않았어.,fear
엄청 좋아요!,happiness
헐! 나 이벤트에 당첨 되었어!,happiness
그것도 좋은데 밖에 나가서 좀 놀고 싶네요?,happiness
유명한 인플루언서가 이벤트를 하더라고.,happiness
당연히 선물은 맘에 들지. 비싼 향순데.,happiness
휴가 첫날부터 밖에서 하루종일 비가 오고 있어.,angry
너무 가고 싶어요!,happiness
나 너무 우울해.,sadness
동해 바다 놀러가려고 했었지.,angry
코로나 때문에 나가지도 못하고.,sadness
맞아요. 밖에 안나가니까 몸도 뭔가 무겁고.,sadness
난 게임보다는 영화보는 걸 더 즐거워 해.,angry
그것도 좋은데 운동하고 싶어요.,sadness
갑자기 해피 목줄이 끊어져버린 거야!,surprise
다행히 지나가던 아저씨께서 잡아주셨어.,surprise
지금은 진정 됐지. 하지만 또 그럴까봐 걱정이야.,surprise
헐! 나 이벤트 당첨 됐어!,happiness
향수가 당첨됐어요.,happiness
이번 마라톤 대회에서 내 기록이 엄청 향상되었어!,happiness
한 명이었는데 운 좋게 제가 뽑았나봐요.,happiness
나 갇힌 것 같아.,fear
당연히 같이 운동하고 같이 출전하는 사람들 있어.,happiness
네. 사고 싶었는데 너무 비싸가지고 못 샀어요.,happiness
아니요. 아직이요. 이제 할려고요.,happiness
내 휴가가 엉망이야!,angry
휴가인데 밖에 비가 와서.,angry
나 요즘 주식하는데 정말 힘들어.,sadness
바닷가 가서 놀기로 했는데.,angry
그런 것 같아.,fear
일 년 정도 된 거 같애요. 코로나도 계속.,angry
네. 드라마나 봐야겠어요.,angry
해피 목줄이 갑자기 끊어져버린 거야!,surprise
친구한테 갑자기 연락 와서 같이 하자고 하더라고.,sadness
다치거나 무슨 일이 생기진 않았어. 지나가던 아저씨가 잡아주셨거든.,surprise
다행히 사람들은 많지 않았어.,surprise
지금은 진정됐어. 그렇지만 걱정도 되긴 해. 또 그럴까봐.,surprise
내가 들고 있는 주식은 괜찮은 주식이야. 생명과학 분야야.,sadness
어차피 팔지도 못해. 가격이 너무 많이 떨어져서.,sadness
나 어제 자다가 깜짝 놀랐어!,surprise
아니. 자랑 안했어.,happiness
내가 마라톤 대회에 출전했잖아. 그런데 내 기록이 엄청 단축 됐더라고?,happiness
선수처럼 잘 뛰진 않고 그냥 내 기록만 단축됐다는 거야.,happiness
맞아. 뛰는 동안 정말 힘들었는데 결승선을 통과하는 순간 싹 잊혀지더라고.,happiness
그럼. 같이 운동하고 같이 대회 나가는 사람들 있어.,happiness
나 주식 시작했는데 정말 답답해.,sadness
자고 있었는데 갑자기 폭탄 터지는 소리가 나잖아!,surprise
내일 친구를 만나야 하는데 뭘 먹어야 할지를 모르겠어.,neutral
"음, 서울에서 만날 거 같은데?",neutral
일식이 더 좋을 거 같애.,neutral
"오, 좋지. 어딘데?",neutral
"오, 좋은데? 고마워.",neutral
내가 미리미리 화장실 쓰레기를 버리질 않아서 그래.,disgust
알았어. 화내지 마. 그렇게 할게.,disgust
방향제 썼다가 냄새랑 뒤섞일까봐 무서워서 못 썼어.,disgust
알았어. 힘 낼게. 하지만 내가 잘못한거니깐.,disgust
이번에 구매한 노트북이 오늘 왔어.,happiness
비싼 건 못 샀어. 알바비를 모아서 산 거거든.,happiness
새 노트북이니깐 꼼꼼히 살펴볼게.,happiness
나 드디어 프로젝트 끝났어!,happiness
어. 이제 완전히 끝났어.,happiness
신나는 음악 좋지.,happiness
영화도 다운 받고 프로젝트도 해야 돼.,happiness
그런 보험 있으면 지금 당장 가입 해야지.,happiness
제주도나 갈까?,happiness
짭새가 몰려와서 구경 갔다 왔어!,neutral
그러니까. 그게 궁금해서 갔더니 못 오게 하잖아!,neutral
치사하고 더러워서 그냥 와버렸어.,neutral
우리 동네 짭새가 몰려왔어!,neutral
그래서 궁금해서 구경 갔다가 더럽고 치사해서 그냥 왔어!,neutral
그런 건 아니야. 하지만 왜 몰려왔는지 궁금해 죽겠어!,neutral
짭새가 몰려와서 구경 갔다 왔어.,neutral
짭새 구경 갔다가 우산도 놓고 왔어.,neutral
난 괜찮아. 하지만 환절기라서 비염기가 좀 있네.,neutral
당첨 선물이 너무 마음에 들어. 내가 갖고 싶었던 향수였거든.,happiness
주변 사람들한테 이벤트에 당첨돼서 선물 받았다고 자랑했어.,happiness
아까 해피를 산책시키다가 깜짝 놀랐어!,surprise
갑자기 해피의 목줄이 끊어져서 해피가 막 달려나갔어.,surprise
집에서 쉬고 나니까 마음이 진정되었어.,surprise
단톡방에서 아는 지인이 추천해줘서 시작하게 되었어.,sadness
주식 가격이 많이 떨어져서 손해를 봤어.,sadness
시간이 지나면 떨어졌던 주식도 오를 날이 있겠지?,sadness
나 내일 친구를 만나기로 했는데 뭘 먹어야 할지 모르겠어.,neutral
친구를 강남역에서 만나기로 했어.,neutral
오랜만에 친구랑 양식을 먹고 싶어.,neutral
애피타이저부터 푸짐하게 주는 집 정말 좋을 거 같아.,neutral
잠결에 들어서 그런가 갑자기 폭탄 터지는 소리가 들리더라고!,surprise
그런데 반전은 뭐냐면 폭탄 터지는 소리가 아니라 천둥 소리였어.,surprise
내 휴가가 엉망이야.,angry
엉망이야.,angry
그럼. 그렇게 한 번 해보는게 좋겠다.,angry
화장실 청소는 해도해도 끝이 없어!,angry
그래서 그런가 하루종일 화장실 청소만 하는 것 같아.,angry
그렇게 좋다면 나도 써봐야지.,angry
목줄을 끊고 달아난 거야.,surprise
너무너무 괜찮아. 걱정하지 마.,surprise
없고 나 혼자 뛰어.,happiness
나도 궁금해서 구경 갔다 왔지.,neutral
나 요즘 주식을 시작했는데.,sadness
짭새가 몰려와서 구경 갔다 왔어!,neutral
주식 가격이 엄청 폭락해버렸어.,sadness
우리 동네 짭새가 몰려와서 시끄러워 죽는 줄 알았어.,neutral
나도 그게 궁금해서 구경 갔다가 구경도 못하고 쫓겨났어!,neutral
케이트를 쳐놓고 근처에도 못 오게 하더라고?,neutral
그 새끼는 또라이라서 욕 처먹어도 괜찮아.,angry
난 음악 안 좋아해. 너나 들어라!,angry
나 어제 자다가 깜짝 놀랬어.,surprise
쓰레기통에서 역겨운 냄새가 나기 시작했어!,disgust
내가 청소를 잘 안해서 그래.,disgust
알았어. 지금이라도 바로 묶어서 버릴게.,disgust
다음부턴 빨리빨리 치워야지.,disgust
어떻게 하지?,angry
구매한 노트북이 오늘 도착했어!,happiness
돈이 없거든.,happiness
알았어. 사용 설명서 보고 꼼꼼히 살펴볼게.,happiness
할게 너무 많아서 일일이 나열할 수가 없어.,happiness
친구를 만나는데 뭘 먹어야될지 모르겠어.,neutral
강남역 주변에서 만나.,neutral
나 드디어 프로젝트가 끝났어!,happiness
완전히 끝났어.,happiness
나 너무 우울해.,sadness
너무 답답해.,sadness
요즘 다들 왜 그러는 거지? 이해가 안 가.,angry
진짜 너무너무 실망이야.,angry
너무 좋다! 고마워.,angry
역겨운 냄새가 나고 있어.,disgust
모르겠어. 무슨 일이지?,disgust
빨리 버려야 될 거 같애.,disgust
그래. 빨리 처리해야겠어.,disgust
뭐 어때.,angry
우산이 없다.,neutral
좋은 편이다.,neutral
짭새가 몰려 있어서 구경 다녀 왔어.,neutral
헐. 내가 이벤트에 당첨 되었어.,happiness
주변 사람들한테 이벤트에 당첨돼서 선물 받았다고 자랑했어.,happiness
"아니, 나 아까 산책시키다가 깜짝 놀랐어!",surprise
갑자기 해피의 목줄이 끊어져서 해피가 막 달려갔어.,surprise
내가 얼른 달려가서 해피를 안고 왔기 때문에 다행히 아무 일도 없었어.,surprise
해피가 달려가서 사람들이 너무 놀랐어.,surprise
집에서 좀 쉬고 나니까 마음이 진정되었어.,surprise
나 요즘 주식을 시작했어.,sadness
단톡방에서 아는 지인이 주식을 해보라고 추천해줬어.,sadness
전자 종목이 전망이 있을 거라고 해서 전자 종목을 구입했어.,sadness
시간이 지나면 떨어졌던 주식도 오를 날이 있겠지?,sadness
나 드디어 프로젝트가 끝났어!,happiness
오늘 최종 발표를 했으니까 이제 완전히 끝낸거야.,happiness
한 달 동안 친구들을 못 만났는데 친구를 만날 계획을 세워봐야겠어.,happiness
너의 말대로 쉬고 여행 갈 계획도 세워볼게.,happiness
내일 친구를 만나기로 했는데 뭘 먹어야 할지 모르겠어.,neutral
친구랑 일식을 먹고 싶어.,neutral
화장실은 청소를 해도 곰팡이가 안 없어져.,angry
그래서 매일 청소를 하고 있는데 곰팡이가 없어지질 않아.,angry
장마철이라서 곰팡이가 많이 생기니까 너무 신경이 쓰여.,angry
"아니, 요즘 다 왜 이러는 거야? 정말 이해가 안돼.",angry
내가 좋아하는 유튜버가 있는데 뒷광고를 했다고 사과하는 영상을 올렸어.,angry
사과 영상을 봤는데 자기 변명만 하고 있어서 더 화가 났어.,angry
화가 나는 내 마음을 달래줄 영상이 있어?,angry
내 휴가가 엉망이야!,angry
